molecule,api_manufacturer_count,api_manufacturers,api_concentration_risk,api_india_count,api_china_count,api_uk_eu_count,api_india_china_pct,api_single_source,api_eu_mah_names,us_shortage_active,us_shortage_total,us_shortage_reasons
pramipexole,2,Sichuan Haisco (China)|Boehringer Ingelheim (Germany),CRITICAL,0,1,1,50,0,,0,0,
esomeprazole,3,Sun Pharma (India)|Laurus Labs (India)|Mylan (USA),HIGH,2,0,0,67,0,,0,0,
mefenamic,2,Granules India (India)|Solara Active Pharma (India),CRITICAL,2,0,0,100,0,,0,0,
lactulose,2,Solvay (BASF) (Belgium)|FrieslandCampina (Netherlands),CRITICAL,0,0,2,0,0,,0,0,
olanzapine,3,Aurobindo Pharma (India)|Dr. Reddy's (India)|Teva (Israel),HIGH,2,0,0,67,0,,0,0,
indapamide,2,Dr. Reddy's (India)|Zydus Lifesciences (India),CRITICAL,2,0,0,100,0,,0,0,
propranolol,3,Ipca Labs (India)|Laurus Labs (India)|Teva (Israel),HIGH,2,0,0,67,0,,2,2,Shortage of an active ingredient
co-codamol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
hydroxocobalamin,2,Catalent (Netherlands)|Panpharma (France),CRITICAL,0,0,2,0,0,,2,2,Other|Requirements related to complying with good manufacturing practices
paracetamol,3,Granules India (India)|Mallinckrodt (USA)|Rhodia (France),HIGH,1,0,1,33,0,,0,0,
ibandronic,3,Teva API (India)|Aurobindo (India)|Zentiva (Czech Republic),HIGH,2,0,1,67,0,,0,0,
oxybutynin,0,,UNKNOWN,0,0,0,-1,0,,0,4,
trihexyphenidyl,0,,UNKNOWN,0,0,0,-1,0,,0,0,
trimethoprim,0,,UNKNOWN,0,0,0,-1,0,,0,0,
alfuzosin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
bumetanide,0,,UNKNOWN,0,0,0,-1,0,,8,17,Demand increase for the drug
nizatidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
clarithromycin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
febuxostat,0,,UNKNOWN,0,0,0,-1,0,,0,0,
naftidrofuryl,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sodium,0,,UNKNOWN,0,0,0,-1,0,,9,149,Other
amiodarone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
lofepramine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dutasteride,0,,UNKNOWN,0,0,0,-1,0,,0,0,
nefopam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
bimatoprost,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ciprofloxacin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
progesterone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
oxytetracycline,0,,UNKNOWN,0,0,0,-1,0,,0,0,
mometasone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
latanoprost,0,,UNKNOWN,0,0,0,-1,0,,0,0,
valaciclovir,0,,UNKNOWN,0,0,0,-1,0,,0,0,
betamethasone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
oxycodone,0,,UNKNOWN,0,0,0,-1,0,,0,7,
itraconazole,0,,UNKNOWN,0,0,0,-1,0,,0,3,
terbinafine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
procyclidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
irbesartan,0,,UNKNOWN,0,0,0,-1,0,,0,0,
lansoprazole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
risperidone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tolterodine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sulpiride,0,,UNKNOWN,0,0,0,-1,0,,0,0,
clotrimazole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
pyridostigmine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sulfasalazine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
phenoxymethylpenicillin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
zolmitriptan,0,,UNKNOWN,0,0,0,-1,0,,0,0,
cyclizine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ivabradine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
midazolam,0,,UNKNOWN,0,0,0,-1,0,,10,30,Demand increase for the drug|Other
diclofenac,0,,UNKNOWN,0,0,0,-1,0,,0,0,
methenamine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fexofenadine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
co-careldopa,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dexamethasone,0,,UNKNOWN,0,0,0,-1,0,,10,16,Demand increase for the drug
timolol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
promethazine,0,,UNKNOWN,0,0,0,-1,0,,10,10,Demand increase for the drug|Other
estradiol,0,,UNKNOWN,0,0,0,-1,0,,0,4,
carbocisteine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fenofibrate,0,,UNKNOWN,0,0,0,-1,0,,0,0,
mercaptopurine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sitagliptin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
imipramine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
prucalopride,0,,UNKNOWN,0,0,0,-1,0,,0,0,
duloxetine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
permethrin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
nitrazepam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
piroxicam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fluoxetine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
mycophenolate,0,,UNKNOWN,0,0,0,-1,0,,0,0,
buprenorphine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
propylthiouracil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
co-amoxiclav,0,,UNKNOWN,0,0,0,-1,0,,0,0,
montelukast,0,,UNKNOWN,0,0,0,-1,0,,0,2,
venlafaxine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ropinirole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
folic,0,,UNKNOWN,0,0,0,-1,0,,0,0,
levothyroxine,3,Siegfried (Germany)|AAPI (India)|Sichuan Kelun (China),HIGH,1,1,1,67,0,,0,22,
pregabalin,3,Aurobindo (India)|Dr. Reddy's (India)|Pfizer (Ireland),HIGH,2,0,1,67,0,,0,0,
modafinil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
erythromycin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
memantine,0,,UNKNOWN,0,0,0,-1,0,,0,2,
desogestrel,0,,UNKNOWN,0,0,0,-1,0,,0,0,
amiloride,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tacrolimus,0,,UNKNOWN,0,0,0,-1,0,,0,0,
aqueous,0,,UNKNOWN,0,0,0,-1,0,,0,0,
temazepam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
isosorbide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
vardenafil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
methylphenidate,0,,UNKNOWN,0,0,0,-1,0,,10,43,Demand increase for the drug|Other|Delay in shipping of the drug
nortriptyline,0,,UNKNOWN,0,0,0,-1,0,,0,1,
trospium,0,,UNKNOWN,0,0,0,-1,0,,0,0,
haloperidol,0,,UNKNOWN,0,0,0,-1,0,,0,6,
rizatriptan,0,,UNKNOWN,0,0,0,-1,0,,0,0,
gabapentin,3,Aurobindo (India)|Teva (Hungary)|Lupin (India),HIGH,2,0,0,67,0,,0,0,
fusidic,0,,UNKNOWN,0,0,0,-1,0,,0,0,
letrozole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
morphine,0,,UNKNOWN,0,0,0,-1,0,,8,27,Demand increase for the drug|Other
pioglitazone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ferrous,0,,UNKNOWN,0,0,0,-1,0,,0,0,
cefalexin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
exemestane,0,,UNKNOWN,0,0,0,-1,0,,0,0,
acetazolamide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tadalafil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
alendronic,0,,UNKNOWN,0,0,0,-1,0,,0,0,
cimetidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
metronidazole,0,,UNKNOWN,0,0,0,-1,0,,4,4,Shortage of an active ingredient|Other
prochlorperazine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
telmisartan,0,,UNKNOWN,0,0,0,-1,0,,0,0,
oxazepam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tibolone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
senna,0,,UNKNOWN,0,0,0,-1,0,,0,0,
citalopram,0,,UNKNOWN,0,0,0,-1,0,,0,0,
flucloxacillin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
famotidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dorzolamide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
carbimazole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
nicorandil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
naproxen,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sotalol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
cinacalcet,0,,UNKNOWN,0,0,0,-1,0,,0,0,
amoxicillin,3,CSPC Pharmaceutical (China)|Aurobindo (India)|Sandoz (Germany),HIGH,1,1,1,67,0,,0,0,
domperidone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ipratropium,0,,UNKNOWN,0,0,0,-1,0,,0,0,
quetiapine,3,Dr. Reddy's (India)|Cipla (India)|Teva (Israel),HIGH,2,0,0,67,0,,0,0,
losartan,0,,UNKNOWN,0,0,0,-1,0,,0,0,
isotretinoin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
lamotrigine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
frovatriptan,0,,UNKNOWN,0,0,0,-1,0,,0,2,
warfarin,3,Medisca (Canada)|Letco (USA)|Cardinal Health (USA),HIGH,0,0,0,0,0,,0,0,
desloratadine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
anastrozole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
benzoyl,0,,UNKNOWN,0,0,0,-1,0,,0,1,
norethisterone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
colecalciferol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
loperamide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
amantadine,0,,UNKNOWN,0,0,0,-1,0,,0,5,
prednisolone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
amorolfine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
lorazepam,0,,UNKNOWN,0,0,0,-1,0,,10,11,Demand increase for the drug|Other
glimepiride,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dipyridamole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
mebeverine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
clomipramine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
carvedilol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
chloramphenicol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
calcipotriol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
labetalol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tamsulosin,0,,UNKNOWN,0,0,0,-1,0,,0,3,
lercanidipine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
azithromycin,3,Sandoz (India)|Teva (Croatia)|Aurobindo (India),HIGH,2,0,0,67,0,,0,2,
baclofen,0,,UNKNOWN,0,0,0,-1,0,,0,12,
escitalopram,0,,UNKNOWN,0,0,0,-1,0,,0,0,
cefradine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
quinine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
valsartan,0,,UNKNOWN,0,0,0,-1,0,,0,4,
co-amilozide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
chlorpromazine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
betahistine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tetracycline,0,,UNKNOWN,0,0,0,-1,0,,0,0,
cilostazol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
calcium,0,,UNKNOWN,0,0,0,-1,0,,0,1,
metoprolol,0,,UNKNOWN,0,0,0,-1,0,,0,8,
co-fluampicil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fluticasone,0,,UNKNOWN,0,0,0,-1,0,,0,4,
clonidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ondansetron,0,,UNKNOWN,0,0,0,-1,0,,0,0,
hydrocortisone,0,,UNKNOWN,0,0,0,-1,0,,0,11,
indometacin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
celiprolol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
clindamycin,0,,UNKNOWN,0,0,0,-1,0,,9,25,Demand increase for the drug|Other
dosulepin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
glyceryl,0,,UNKNOWN,0,0,0,-1,0,,0,0,
pravastatin,0,,UNKNOWN,0,0,0,-1,0,,0,8,
nebivolol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fosinopril,0,,UNKNOWN,0,0,0,-1,0,,0,0,
amisulpride,0,,UNKNOWN,0,0,0,-1,0,,0,0,
levetiracetam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
aspirin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dihydrocodeine,3,Macfarlan Smith (UK)|Temad (Iran)|Alcaliber (Spain),HIGH,0,0,2,0,0,,0,0,
tramadol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
verapamil,0,,UNKNOWN,0,0,0,-1,0,,0,1,
buspirone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
celecoxib,0,,UNKNOWN,0,0,0,-1,0,,0,6,
perindopril,0,,UNKNOWN,0,0,0,-1,0,,0,0,
bendroflumethiazide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
brinzolamide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
phenytoin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
furosemide,0,,UNKNOWN,0,0,0,-1,0,,10,33,Other|Requirements related to complying with good manufacturing practices
aripiprazole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
pyridoxine,0,,UNKNOWN,0,0,0,-1,0,,0,1,
etoricoxib,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fluvastatin,0,,UNKNOWN,0,0,0,-1,0,,0,3,
codeine,3,Macfarlan Smith (UK)|Temad (Iran)|Alcaliber (Spain),HIGH,0,0,2,0,0,,0,0,
metformin,3,Merck KGaA (Germany)|Sumitomo (Japan)|Intraco (India),HIGH,1,0,1,33,0,,0,0,
glycerol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
thiamine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
macrogol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
desmopressin,0,,UNKNOWN,0,0,0,-1,0,,4,4,Delay in shipping of the drug|Requirements related to complying with good manufacturing practices
lacidipine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
chlorhexidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dapagliflozin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
riluzole,0,,UNKNOWN,0,0,0,-1,0,,4,4,Requirements related to complying with good manufacturing practices
leflunomide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
co-tenidone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
glipizide,0,,UNKNOWN,0,0,0,-1,0,,0,1,
nitrofurantoin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
oxcarbazepine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
clobazam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
hydroxyzine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
clonazepam,0,,UNKNOWN,0,0,0,-1,0,,10,40,Other
digoxin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
bisoprolol,3,Merck KGaA (Germany)|Chemo (Spain)|Aurobindo (India),HIGH,1,0,2,33,0,,0,0,
cyanocobalamin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
colesevelam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
primidone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
liothyronine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
zolpidem,0,,UNKNOWN,0,0,0,-1,0,,0,0,
olopatadine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
moxonidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
alfacalcidol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
simvastatin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ranitidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
mirtazapine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
beclometasone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
raloxifene,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ramipril,3,Aurobindo (India)|Cipla (India)|Sanofi (Germany),HIGH,2,0,1,67,0,,0,0,
eplerenone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
alverine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
pizotifen,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dapsone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
co-amilofruse,0,,UNKNOWN,0,0,0,-1,0,,0,0,
paroxetine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
spironolactone,0,,UNKNOWN,0,0,0,-1,0,,0,2,
travoprost,0,,UNKNOWN,0,0,0,-1,0,,0,0,
hydroxychloroquine,0,,UNKNOWN,0,0,0,-1,0,,0,1,
methocarbamol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
gliclazide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
methotrexate,0,,UNKNOWN,0,0,0,-1,0,,7,21,Demand increase for the drug|Other
brimonidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
flecainide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
rasagiline,0,,UNKNOWN,0,0,0,-1,0,,0,0,
midodrine,0,,UNKNOWN,0,0,0,-1,0,,0,7,
rosuvastatin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
topiramate,0,,UNKNOWN,0,0,0,-1,0,,0,5,
glycopyrronium,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sevelamer,0,,UNKNOWN,0,0,0,-1,0,,0,0,
cabergoline,0,,UNKNOWN,0,0,0,-1,0,,0,0,
amitriptyline,0,,UNKNOWN,0,0,0,-1,0,,0,0,
co-dydramol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
rabeprazole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
bicalutamide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fluconazole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
hydralazine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
acamprosate,0,,UNKNOWN,0,0,0,-1,0,,0,0,
cetirizine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fesoterodine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
rivastigmine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tolbutamide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
entacapone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
risedronate,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ezetimibe,0,,UNKNOWN,0,0,0,-1,0,,0,3,
nifedipine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
zonisamide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
diamorphine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
enalapril,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tamoxifen,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fludrocortisone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
melatonin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ursodeoxycholic,0,,UNKNOWN,0,0,0,-1,0,,0,0,
doxycycline,3,Hovione (Portugal)|Cipla API (India)|AMSA (Italy),HIGH,1,0,2,33,0,,0,6,
tizanidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
aciclovir,0,,UNKNOWN,0,0,0,-1,0,,0,0,
trandolapril,0,,UNKNOWN,0,0,0,-1,0,,0,0,
rivaroxaban,0,,UNKNOWN,0,0,0,-1,0,,0,0,
lacosamide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tranexamic,0,,UNKNOWN,0,0,0,-1,0,,0,0,
naratriptan,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dexamfetamine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
atenolol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dabigatran,0,,UNKNOWN,0,0,0,-1,0,,0,0,
olmesartan,0,,UNKNOWN,0,0,0,-1,0,,0,15,
doxazosin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
salbutamol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
pantoprazole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
lisinopril,0,,UNKNOWN,0,0,0,-1,0,,0,0,
donepezil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
meloxicam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
zopiclone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
co-trimoxazole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
bisacodyl,0,,UNKNOWN,0,0,0,-1,0,,0,0,
metoclopramide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
chlorphenamine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sumatriptan,0,,UNKNOWN,0,0,0,-1,0,,0,2,
benzydamine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
docusate,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ibuprofen,0,,UNKNOWN,0,0,0,-1,0,,0,0,
cinnarizine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
amlodipine,3,Aurobindo (India)|Teva (India)|Sun Pharma (India),HIGH,3,0,0,100,0,,0,19,
prasugrel,0,,UNKNOWN,0,0,0,-1,0,,0,0,
lymecycline,0,,UNKNOWN,0,0,0,-1,0,,0,0,
diltiazem,0,,UNKNOWN,0,0,0,-1,0,,0,1,
solifenacin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
loratadine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
finasteride,0,,UNKNOWN,0,0,0,-1,0,,0,3,
omeprazole,3,Sun Pharma (India)|Aurobindo (India)|Sandoz (Germany),HIGH,2,0,1,67,0,,0,10,
atorvastatin,3,Aurobindo (India)|Torrent Pharma (India)|Sandoz (India),HIGH,3,0,0,100,0,,0,0,
vitamin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
candesartan,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ranolazine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
apixaban,0,,UNKNOWN,0,0,0,-1,0,,0,0,
colchicine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sildenafil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
allopurinol,0,,UNKNOWN,0,0,0,-1,0,,0,4,
azathioprine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
orlistat,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sertraline,3,Aurobindo (India)|Teva (India)|Lupin (India),HIGH,3,0,0,100,0,,0,0,
trazodone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
clopidogrel,0,,UNKNOWN,0,0,0,-1,0,,0,0,
phenobarbital,0,,UNKNOWN,0,0,0,-1,0,,0,8,
diazepam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
methadone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
