source,title,summary,published,url,matched_drugs,drug_count
govuk_mhra,"Class 2 Medicines Recall: Regent Medical Limited / Mölnlycke Health Care, Hibiwash 500ml, EL(26)A/15","Mölnlycke Health Care are recalling specific batches of Hibiwash due to microbial contamination at the manufacturing facility, following routine weekly microbiological monitoring.",2026-03-23,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-regent-medical-limited-slash-molnlycke-health-care-hibiwash-500ml-el-26-a-slash-15,,0
govuk_mhra,Precautionary recall of Hibiwash due to microbial contamination,"As a precautionary measure, Mölnlycke Health Care is recalling three batches of Hibiwash, an antimicrobial wash, due to microbial contamination at the manufacturing facility.",2026-03-23,https://www.gov.uk/government/news/precautionary-recall-of-hibiwash-due-to-microbial-contamination,,0
govuk_mhra,"Class 3 Medicines Recall: Bayer Plc, Various Products, EL(26)A/12",Bayer Plc is recalling all stock of the products listed in this notification as a precautionary measure due to the identification of an impurity above the acceptable limit. The recall is at pharmacy and wholesaler level.,2026-03-12,https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-bayer-plc-various-products-el-26-a-slash-12,,0
govuk_mhra,"Class 2 Medicines Recall: Rokshaw Limited Trading as Curaleaf Laboratories, Curaleaf Oil [FS] 10mg/ml THC, 10mg/ml CBD (30ml), EL(26)A/13",Curaleaf Laboratories are recalling three batches of Curaleaf Oil [FS] 10mg/ml THC 10mg/ml CBD (30ml) due to low THC content.,2026-03-12,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-rokshaw-limited-trading-as-curaleaf-laboratories-curaleaf-oil-fs-10mg-slash-ml-thc-10mg-slash-ml-cbd-30ml-el-26-a-slash-13,,0
govuk_mhra,"Class 2 Medicines Recall: Crescent Pharma Limited, Ramipril 5mg capsules, EL(26)A/11",Crescent Pharma Limited is recalling one batch of Ramipril 5 mg Capsules as a precautionary measure due to a potential error at the manufacturing site.,2026-03-06,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-crescent-pharma-limited-ramipril-5mg-capsules-el-26-a-slash-11,ramipril 1.25mg capsules|ramipril 5mg capsules|ramipril 10mg tablets|ramipril 2.5mg tablets|ramipril 2.5mg capsules|ramipril 1.25mg tablets|ramipril 10mg capsules|ramipril 5mg tablets,8
govuk_mhra,"Class 2 Medicines Recall: Sterling Pharmaceuticals Ltd (specials manufacturer MS 32515), KidNaps (Melatonin) 1mg in 1ml Oral Solution, EL(26)A/09",Sterling Pharmaceuticals Ltd and Veriton Pharma Ltd are recalling all batches of KidNaps (Melatonin) 1mg in 1ml Oral Solution due to out of specification stability results.,2026-02-23,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-sterling-pharmaceuticals-ltd-specials-manufacturer-ms-32515-kidnaps-melatonin-1mg-in-1ml-oral-solution-el-26-a-slash-09,melatonin 1mg/ml oral solution sugar free|melatonin 2mg modified-release tablets,2
govuk_mhra,"Class 3 Medicines Recall: Norgine Limited, MOVICOL Ease Citrus Powder for oral solution 13.7 g, EL(26)A/08",Norgine Limited is recalling one batch of product as a precautionary measure due to some units containing low amounts of active ingredients.,2026-02-17,https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-norgine-limited-movicol-ease-citrus-powder-for-oral-solution-13-dot-7-g-el-26-a-slash-08,,0
govuk_mhra,"Class 3 Medicines Recall: Aspar Pharmaceuticals Ltd, Ibuprofen 200mg Tablets, Ibucalm 200mg tablets, EL(26)A/07","Aspar Pharmaceuticals Ltd is recalling specific batches distributed in Aspar, Almus and Numark livery. The batches are being recalled as a precautionary measure following findings of foil perforations in some blisters.",2026-02-04,https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-aspar-pharmaceuticals-ltd-ibuprofen-200mg-tablets-ibucalm-200mg-tablets-el-26-a-slash-07,ibuprofen 100mg/5ml oral suspension sugar free|ibuprofen 5% gel|ibuprofen 200mg tablets|ibuprofen 400mg tablets,4
govuk_mhra,"Class 2 Medicines Recall: Syri Limited, T/A SyriMed, Baclofen 10mg/5ml Oral Solution,  EL(26)A/06","Syri Limited, T/A SyriMed is recalling batches of product as a precautionary measure due to crystallisation observed over time in the oral solution.",2026-02-03,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-syri-limited-t-slash-a-syrimed-baclofen-10mg-slash-5ml-oral-solution-el-26-a-slash-06,baclofen 5mg/5ml oral solution sugar free|baclofen 10mg tablets,2
govuk_mhra,"Class 2 Medicines Recall: Accord Healthcare Ltd, Carmustine 100 mg Powder and Solvent for Concentrate for Solution for Infusion (1 vial 100mg powder, 1 vial of 3 mL solvent),  EL(26)A/05",Accord Healthcare limited is recalling a single batch due to an out of specification test result.,2026-02-02,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-accord-healthcare-ltd-carmustine-100-mg-powder-and-solvent-for-concentrate-for-solution-for-infusion-1-vial-100mg-powder-1-vial-of-3-ml-solvent-el-26-a-slash-05,,0
govuk_mhra,"National Patient Safety Alert: Class 1 Medicines Recall Notification: Recall of Quetiapine Oral Suspension (unlicensed medicine), manufactured by Eaststone Limited due to a potential for overdosing, NatPSA/2026/002/MHRA","Eaststone Limited is initiating a recall of all batches of quetiapine oral suspension products due to a potential risk of overdose, which could have consequences for the safety of patients.",2026-01-29,https://www.gov.uk/drug-device-alerts/national-patient-safety-alert-class-1-medicines-recall-notification-recall-of-quetiapine-oral-suspension-unlicensed-medicine-manufactured-by-eaststone-limited-due-to-a-potential-for-overdosing-natpsa-slash-2026-slash-002-slash-mhr,quetiapine 100mg tablets|quetiapine 150mg tablets|quetiapine 25mg tablets|quetiapine 300mg tablets|quetiapine 200mg tablets,5
govuk_mhra,"Class 3 Medicines Recall: Glenmark Pharmaceuticals Europe Limited, Fingolimod Glenmark 0.5 mg Hard Capsules, EL(26)A/02",Glenmark Pharmaceuticals Europe Limited is recalling one batch after stability testing showed out-of-specification results. The batch is being recalled as a precautionary measure following test results that showed a delay in…,2026-01-21,https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-glenmark-pharmaceuticals-europe-limited-fingolimod-glenmark-0-dot-5-mg-hard-capsules-el-26-a-slash-02,,0
govuk_mhra,"Class 2 Medicines Recall: Mercury Pharmaceuticals Ltd, Paliperidone Mercury Pharma prolonged-release suspension for injection in pre-filled syringes, EL(26)A/01",Mercury Pharmaceuticals Ltd is recalling remaining stock of paliperidone pre-filled syringes as a precautionary measure due to Good Manufacturing Practice (GMP) deficiencies cited during a recent inspection at the finished p…,2026-01-20,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-mercury-pharmaceuticals-ltd-paliperidone-mercury-pharma-prolonged-release-suspension-for-injection-in-pre-filled-syringes-el-26-a-slash-01,,0
govuk_mhra,"Class 3 Medicines Recall: Activase Pharmaceuticals Limited, Prednisolone 5mg Soluble Tablets, EL(25)A/54",Activase Pharmaceuticals Limited is recalling two batches of Prednisolone 5mg Soluble Tablets as a precautionary measure due to a limited number of reports of blister pockets becoming swollen over time.,2025-12-15,https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-activase-pharmaceuticals-limited-prednisolone-5mg-soluble-tablets-el-25-a-slash-54,prednisolone 5mg soluble tablets|prednisolone 2.5mg gastro-resistant tablets|prednisolone 1mg tablets|prednisolone 5mg gastro-resistant tablets|prednisolone 5mg soluble tablets sugar free|prednisolone 5mg tablets,6
govuk_mhra,"Class 2 Medicines Recall: Hameln Pharma Ltd, Clarithromycin 500 mg powder for concentrate for solution for infusion, EL(25)A/53",Hameln Pharma Ltd is recalling certain batches of Clarithromycin 500 mg powder for concentrate for solution for infusion.,2025-12-11,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-hameln-pharma-ltd-clarithromycin-500-mg-powder-for-concentrate-for-solution-for-infusion-el-25-a-slash-53,clarithromycin 125mg/5ml oral suspension|clarithromycin 250mg tablets|clarithromycin 250mg/5ml oral suspension|clarithromycin 500mg tablets,4
govuk_mhra,"Class 3 Medicines Recall: Sun Pharmaceutical Industries Limited, Fingolimod SUN 0.5mg hard capsules, EL(25)A/49",Sun Pharma UK Limited is conducting a precautionary recall of a single batch of Fingolimod SUN 0.5 mg hard capsules due to reports of capsule breakage on removing from the blister. No other batches of Fingolimod SUN 0.5mg ha…,2025-11-20,https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-sun-pharmaceutical-industries-limited-fingolimod-sun-0-dot-5mg-hard-capsules-el-25-a-slash-49,,0
govuk_mhra,"Class 3 Medicines Recall: Sun Pharmaceutical Industries Limited, Atorvastatin 20mg and 80mg Film-coated Tablets, EL(25)A/48",Sun Pharma UK Limited are recalling the batches of tablets specified in the table as a precautionary measure due to failing dissolution test results reported during ongoing stability studies.,2025-11-11,https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-sun-pharmaceutical-industries-limited-atorvastatin-20mg-and-80mg-film-coated-tablets-el-25-a-slash-48,atorvastatin 80mg tablets|atorvastatin 20mg tablets|atorvastatin 40mg tablets|atorvastatin 10mg tablets,4
govuk_mhra,"Class 3 Medicines Recall: Zambon SpA, Emylif 50mg orodispersible film,  EL(25)A/47",Zambon SpA is recalling an affected batch as a precautionary measure due to out of specification results for unknown impurities during ongoing stability testing.,2025-11-10,https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-zambon-spa-emylif-50mg-orodispersible-film-el-25-a-slash-47,,0
